Title,Address,Latitude,Longitude,Found Address,Match Quality,Source,URL
mageirio attalos,"Αδριανού 9, Αθήνα 105 55",37.9764566,23.722086,"Adrianou 9, Athina 105 55, Greece",Match,Google,"https://www.google.com/maps/uv?hl=el&pb=!1s0x14a1bd17e5cf66c3:0x61e3c9923073d74e!2m22!2m2!1i80!2i80!3m1!2i20!16m16!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!2m2!1m1!1e6!3m1!7e115!4shttps://lh5.googleusercontent.com/p/AF1QipNe4Pfc4aBjCYGdAEP9XUg2I52x1hI6yfeDycjf%3Dw260-h175-n-k-no!5zz4TOsc6yzrXPgc69zrXPgiDOuM63z4POtc65zr8gLSDOkc69zrHOts6uz4TOt8-DzrcgR29vZ2xl&imagekey=!1e10!2sAF1QipNe4Pfc4aBjCYGdAEP9XUg2I52x1hI6yfeDycjf#"
geyomai kai mageyomai ,"Νηλέως 11, Αθήνα 118 51",37.9748013,23.7184896,"Nileos 11, Athina 118 51, Greece",Match,Google
taverna ta eykalypta,"Ραγκαβά 1, Αθήνα 105 58",37.97087,23.7297876,"Ragkava 1, Athina 105 58, Greece",Match,Google
taverna diogenhs,"Ραγκαβά 1, Αθήνα 105 58",37.97087,23.7297876,"Ragkava 1, Athina 105 58, Greece",Match,Google
taverna mpakaliarakia,"Κυδαθηναίων 41, Πλάκα 105 58",37.9717368,23.7305621,"Kidathineon 39-41, Athina 105 58, Greece",Match,Google
h spilia ths akropolis,"Θρασύλλου 24, Αθήνα 105 58",37.9708966,23.7290402,"Thrasillou 24, Athina 105 58, Greece",Match,Google
plateia omonoias,πλατεια ομονοιας αθηνα αττικη,37.9843364,23.727756,"Pl. Omonias, Athina, Greece",Match,Google
odos patision,"Πατησίων 172, Αθήνα",38.0020689,23.7339973,"Patision 172, Athina 112 52, Greece",Match,Google
plateia amerikis,"Πλατεία Αμερικής 1, Πλατεία Αμερικής, 11252 Αθήνα Αττικής",38.0022212,23.7332452,"Pl. Amerikis 1, Athina 112 52, Greece",Match,Google
apano maxalas,"Πλάτωνος 1, Καλλιθέα 176 72",37.9552191,23.7026362,"Platonos 1, Kallithea 176 72, Greece",Match,Google
taverna klimataria,"Πλ. Θεάτρου 2, Αθήνα 105 52",37.980561,23.724554,"Pl. Theatrou 2, Athina 105 52, Greece",Match,Google
taverna tou psirri,"Αισχύλου 12, Αθήνα 105 54",37.9787591,23.725165,"Eschilou 12, Athina 105 54, Greece",Match,Google
